Kontraktnavn,Count,Percent,Payment
Fiber 300/300,19646,35.58219984423958,251094308.78
Fiber 100/100,10727,19.428395486570192,157562905.69
Fiber 1000/1000,10330,18.709361925633456,60841631.97
Fiber 500/500,5389,9.760382518609747,105974602.65
DSL,1652,2.992048973973521,4707452.42
Fiber 25/25,1439,2.6062702624381937,42047453.46
COAX 1000/60,1100,1.9922844257692935,3331016.79
COAX 100/35,780,1.412710774636408,1967348.14
Fiber 200/200,762,1.3801097567601834,2507243.12
Fiber 1000/500,649,1.175447811203883,2299360.59
Fiber 20/20,571,1.0341767337402423,15310935.2
Fiber 50/50,417,0.7552569141325413,9774848.72
COAX 1000/500,359,0.6502091898647058,580937.94
COAX 300/300,309,0.5596508068751924,474850.45
Fiber 250/250,285,0.516182783040226,836096.03
COAX 200/25,266,0.481770597504211,669666.6
COAX 300/60,178,0.3223878434426675,247533.29
Fiber 10/10,138,0.2499411370510568,3397659.38
COAX 200/20,123,0.22277362215420282,307775.56
Fiber 30/30,74,0.13402640682447975,221761.57
Fiber 60/60,18,0.032601017876224804,93365.94
Fiber 400/400,1,0.0018111676597902667,3390.0
